pid,responses,rt,time_elapsed,applicable,lesson,other lessons
125,"{""Q0"":""I learned that it's best to evaluate the consequence of an action even if it worth a cost or time. "",""Q1"":""No"",""Q2"":""28"",""Q3"":""No, thank you!""}",36161,654739,1,1,
126,"{""Q0"":""I clicked the conners looking for the highest value "",""Q1"":""I didn't click the first steps because that wouldn't have been worth it"",""Q2"":""When i found a value i was satisfied with"",""Q3"":""top left"",""Q4"":""Have fun and enjoy the process of the survey""}",91408,659119,,,
126,"{""Q0"":""How to strategically guess"",""Q1"":""not at all. Great Survey"",""Q2"":""21"",""Q3"":""Thank you""}",46686,706810,1,5,
127,"{""Q0"":""I looked at the biggest goals and always went where the 48 was."",""Q1"":""I did not go where the negative was on the last one."",""Q2"":""When I found the 48 if it was on there."",""Q3"":""On the last blocks."",""Q4"":""Was trying to find the highest number.""}",67914,597634,,,
127,"{""Q0"":""This probably had a strategy but I did not know what it was."",""Q1"":""N/a"",""Q2"":""21"",""Q3"":""N/a""}",36047,634685,-999,0,
128,"{""Q0"":""The edges that had the most value to them"",""Q1"":""The first steps were meaningless compared to the values of the outer circles"",""Q2"":""Once I found the highest value, 48"",""Q3"":""The outside bubbles"",""Q4"":""Finding the highest value on the edge almost always directed to the most profitable path""}",86577,621448,,,
128,"{""Q0"":""Nothing that I didn't already know!"",""Q1"":""No!"",""Q2"":""20"",""Q3"":""""}",20979,643432,-999,0,
129,"{""Q0"":""I did not use clicks in the game"",""Q1"":""I decided not to spend them money on clicks and take my chances"",""Q2"":""I would stop clicking when i found a good path or if i felt i spent too much on clicks"",""Q3"":""The first nodes i would move the spider to "",""Q4"":""I just randomly selected a direction and went for it for the most part""}",147108,645467,,,
129,"{""Q0"":""I am not quite sure yet"",""Q1"":""no it was pretty straight forward"",""Q2"":""21"",""Q3"":""""}",99726,746208,-999,0,
130,"{""Q0"":""Randomly"",""Q1"":""Left and right looks  little complicated, so Top to click "",""Q2"":""When I looked red numbers "",""Q3"":""TOP left and right "",""Q4"":""It looks same when I choose the top left, then  I have taken top right, I got little positive results  ""}",351961,1446422,,,
130,"{""Q0"":""Move fast "",""Q1"":""Yes "",""Q2"":""20"",""Q3"":""Nothing ""}",58756,1506259,0,6,
131,"{""Q0"":""At first i looked for highest first number. But then I gave up because it seemed random."",""Q1"":""I tried not to click on the negative numbers"",""Q2"":""When I Found if the first number was positive\n"",""Q3"":""The first box"",""Q4"":""I think I should have checked higher value boxes.""}",92388,992234,,,
131,"{""Q0"":""I should check the highest value first"",""Q1"":""I didn't think of spending all my money to find the higher values..."",""Q2"":""32"",""Q3"":""""}",64571,1057810,0,1,
132,"{""Q0"":""Guess"",""Q1"":""Guess"",""Q2"":""The last spot always had the highest value"",""Q3"":""to the right"",""Q4"":""pure guessing""}",36693,720804,,,
132,"{""Q0"":""Nothing"",""Q1"":""no"",""Q2"":""51"",""Q3"":""""}",11787,733618,-999,0,
133,"{""Q0"":""I tried to find green numbers"",""Q1"":""I clicked randomly"",""Q2"":""When I found a green number"",""Q3"":""left or right"",""Q4"":""I tried to find the green numbers, but if i landed on a -2, then a -4, I would always go up.""}",63244,724569,,,
133,"{""Q0"":""That I suck at decision making"",""Q1"":"""",""Q2"":""22"",""Q3"":""""}",15374,740951,1,6,
134,"{""Q0"":""My first clicks were random. I randomly clicked on the outer circles."",""Q1"":""I followed the outcomes of the initial clicks. For example, if one of the outer nodes has a negative value then it would make absolutely no sense to click on the nodes leading to that node. Also, I clicked on the outer most nodes to see which one has the highest value. Whenever I found 48, I started checking out the nodes leading to that nodes because it has the highest value."",""Q2"":""Whenever I got the value of 48, I stopped clicking."",""Q3"":""On the outer most nodes."",""Q4"":""I tried to minimise my spending on revealing nodes by moving the spider to the nodes with the highest value which was mostly 48 and sometimes 24.""}",258544,970860,,,
134,"{""Q0"":""I can make decision without knowing full details as long as I got a concrete idea of the outcome of my decision or the vision I'm working towards to."",""Q1"":""Not at all."",""Q2"":""24"",""Q3"":""""}",71921,1043794,1,6,
135,"{""Q0"":""At first the first nodes then push through to the last but later on I just started pressing on the last nodes."",""Q1"":""Where is saw high negatives."",""Q2"":""When I found a high positive"",""Q3"":""At first the beginning nodes but later the last nodes made more sense."",""Q4"":""No""}",127082,832592,,,
135,"{""Q0"":""To start by clicking on the last nodes."",""Q1"":""No"",""Q2"":""26"",""Q3"":""Interesting and fun study, thanks!""}",36944,870587,0,1,
136,"{""Q0"":""end nodes first. Then second nodes only if there was a tied high positive value in end nodes."",""Q1"":""Never click a first node, as they are low values."",""Q2"":""Once I saw a high positive value, I generally stopped clicking and just went to it."",""Q3"":""End nodes."",""Q4"":""Click end nodes until finding a +48, or +24 if there were no 48s.  Then move to it.  After the first few trials, I figured that clicking extra nodes wasn't giving me that much more, so I stopped clicking once I found""}",301975,916968,,,
136,"{""Q0"":""Finding the +48s is the key to the game."",""Q1"":""No, just took a few trials."",""Q2"":""41"",""Q3"":""None""}",57948,975950,0,8,
137,"{""Q0"":""Starting out, I assumed there would be higher rewards further away from the starting point as it takes more work to get there. I assumed thus that higher rewards would exist on the outermost nodes."",""Q1"":""The first steps seemed to easy to produce any significant rewards"",""Q2"":""Nodes which had not ever yielded positive and high rewards"",""Q3"":""the outermost nodes - up before down, and left before right. "",""Q4"":""After clicking on one branch of the outermost node, thought it was more strategic to try an entirely different branch before trying the other node on the same branch. For example, if I clicked leftmost node branch, up, I would click another branch before clicking down on the same branch. ""}",232379,1020206,,,
137,"{""Q0"":""Some nodes had a statistically higher chance of producing results; though they were all colored the same, ones that were furthest away from the starting point were more valuable. Middle nodes were of negligible value."",""Q1"":""no"",""Q2"":""41"",""Q3"":""none""}",86319,1107535,0,8,
138,"{""Q0"":""I clicked the last step nodes first because they carried the most value. Then I clicked nodes that were on the path to the +48 to determine the best path."",""Q1"":""If a node was on the way to a low value node, then I skipped it."",""Q2"":""If I found a good path to a +48 node, I knew that was the best scenario. So I selected that path rather than checking the others."",""Q3"":""The last nodes on the paths."",""Q4"":""I got better as I went along.""}",165812,876474,,,
138,"{""Q0"":""I learned about the game and what the different strategies could be."",""Q1"":""no."",""Q2"":""32"",""Q3"":""Thank you for the bonus""}",75544,953031,0,8,
139,"{""Q0"":""Only on the outside nodes because they are more profitable "",""Q1"":""the inside nodes don't really have much of an impact "",""Q2"":""once I found a green 48"",""Q3"":""random end nodes "",""Q4"":""""}",183270,1262148,,,
139,"{""Q0"":""to minimize my clicks "",""Q1"":""no"",""Q2"":""50"",""Q3"":""""}",63928,1327081,0,1,
140,"{""Q0"":""used node inspector"",""Q1"":""used code inspector "",""Q2"":""when i found a green path to 48"",""Q3"":""outside edge"",""Q4"":""i worked my way in ""}",76061,1069848,,,
140,"{""Q0"":""im willing to spend money to make money"",""Q1"":""no"",""Q2"":""35"",""Q3"":""no""}",28190,1099046,1,4,7
141,"{""Q0"":""I checked the nodes to find a safe path."",""Q1"":""I tried to click the end nodes to find the highest amount, so I stopped clicking the ones before the end."",""Q2"":""I stopped clicking when I found the $48."",""Q3"":""I started out clicking my next node, but ended up clicking the end nodes when I realized that's where the highest amounts were."",""Q4"":""I took the bad and good on the way to the $48 node.""}",118601,1847337,,,
141,"{""Q0"":""I learned that taking some small hits on money is okay if the end amount is high enough to make up for it and still come out ahead."",""Q1"":""Not at all."",""Q2"":""48"",""Q3"":""It was fun!""}",48509,1896873,1,4,7
142,"{""Q0"":""In the earlier rounds, I would just keep clicking until I reached the end of a pathway to get a sense of the potential web layouts. I determined that every web layout had at least one path that ended with a positive $24 or $48 node with no or very few negative dollar nodes. As the rounds progressed, I would try to follow a positive dollar path of nodes with the lowest negative dollar nodes to ultimately reach a positive $24 or $48 node."",""Q1"":""I initially wanted to avoid any paths with multiple negative dollar nodes. However, I was ultimately searching for the final node amount (positive $24 or $48), which could sometimes be preceded by negative dollar nodes. I would only decide not to click on a node/path when I had found what I believed to be the highest payout path of nodes (a positive $24 or $48 ending node, with no or few negative dollar nodes on the way)."",""Q2"":""I stopped clicking when I uncovered a path that ended with a positive $24 or $48 node, with no or few negative dollar nodes on the way (especially if the path led to the highest payout node of $48)."",""Q3"":""I simply started each round by clicking the node that was directly to the right of the starting node because I did not see a particular node pattern to the web paths (paths seemed to be randomly generated for each round)."",""Q4"":""I calculated that if I revealed all of the nodes in each round, the cost would be $12. By uncovering full pathways in the earlier rounds, I discovered that the payout would always be more than $12 (higher profit) if I kept searching until I found a node pathway that ended with a positive $24 or $48 node.""}",4116280,5483573,,,
142,"{""Q0"":""I learned not to be too hasty when making determinations. By taking the time to reveal pathways in the earlier rounds, I was able to make faster and better decisions as the rounds progressed."",""Q1"":""No. I think the study was well designed, easy to follow, and fun to boot!"",""Q2"":""45"",""Q3"":""No issues to report. Thank you!""}",239025,5723606,0,5,8
143,"{""Q0"":""I used what I learned during training."",""Q1"":""I used what I learned during training."",""Q2"":""When I saw the best option (to me), I stopped clicking. If I saw $48, then I stopped clicking."",""Q3"":""On the outside circles, the ones I was told to click on during training."",""Q4"":""No, not really.""}",146768,853064,,,
143,"{""Q0"":""It is best to complete as few steps as possible. The fewer steps completed, the better."",""Q1"":""No."",""Q2"":""26"",""Q3"":""No""}",95507,949589,0,1,8
144,"{""Q0"":""I would click on the ends, to see if it was negative points or not"",""Q1"":""I did not want to click on a node that was partway through my path, only the end point because that had the most points"",""Q2"":""I clicked every time, it was invaluable information"",""Q3"":""On an end node"",""Q4"":""Just to click on an end node and if the value was negative, to still go in that direction but end up at the opposite node. ""}",145485,879944,,,
144,"{""Q0"":""I learned my own personal strategy for the task, but it was still a gamble."",""Q1"":""no"",""Q2"":""35"",""Q3"":""none""}",37391,918343,0,6,
145,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",3915,853912,,,
145,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",5695,860625,-999,0,
146,"{""Q0"":""I started with the end value first."",""Q1"":""I never considered where not to click."",""Q2"":""After I figured the path I would take."",""Q3"":""On the ends on the left and right sides."",""Q4"":""Just tried to do the least amount of clicking to get the biggest rewards.""}",74334,982987,,,
146,"{""Q0"":""It was worth losing a few points to know I was on the path to a higher payout at the end than click on everything on the board."",""Q1"":""No, it was fun."",""Q2"":""37"",""Q3"":""Fun study, thanks.""}",58298,1042293,0,1,
147,"{""Q0"":""I went with the highest monetary node i uncovered"",""Q1"":""where the most negative amounts were"",""Q2"":""when I could easily guess where my best move would be "",""Q3"":""at the end of the web"",""Q4"":""""}",45646,762636,,,
147,"{""Q0"":"""",""Q1"":""no"",""Q2"":""24"",""Q3"":""""}",15498,779138,-999,0,
148,"{""Q0"":""JUST LUCK"",""Q1"":""IF IT HAD A MINUS SIGN"",""Q2"":""LUCK"",""Q3"":""MOSTLY LEFT"",""Q4"":""NO""}",77493,861870,,,
148,"{""Q0"":""FOLLOW YOUR INSTNCTS"",""Q1"":""NO"",""Q2"":""63"",""Q3"":""NONE""}",40137,903012,1,6,
149,"{""Q0"":""I dint click "",""Q1"":""I dint click"",""Q2"":""I dint click"",""Q3"":""I dint click "",""Q4"":""None""}",181365,1139173,,,
149,"{""Q0"":""Some aspects"",""Q1"":""No"",""Q2"":""34"",""Q3"":""None""}",233651,1373835,0,6,
150,"{""Q0"":""I clicked the farthest out first"",""Q1"":""I didn't click near the lowest values"",""Q2"":""when the highest value path was certain"",""Q3"":""the outermost circles"",""Q4"":""make the money""}",53568,757871,,,
150,"{""Q0"":""I learned to click for help"",""Q1"":""nope"",""Q2"":""43"",""Q3"":""thanks!""}",19538,778421,0,6,
151,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",2234,852817,,,
151,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",6864,860687,-999,0,
152,"{""Q0"":""Extremities controlled max outcome"",""Q1"":""inner nodes made little difference"",""Q2"":""When there was a clear winner"",""Q3"":""Outside bottom left"",""Q4"":""Once one of the three trees hit a48 I could, in hindsight, stop worrying about that one.""}",55928,603552,,,
152,"{""Q0"":""Not to overclick"",""Q1"":""No."",""Q2"":""46"",""Q3"":""Comments has 2 'm's in it?  :)\n\nInteresting puzzle.""}",28030,632597,0,6,
153,"{""Q0"":""Gues"",""Q1"":""Guess"",""Q2"":""Guess"",""Q3"":""Up"",""Q4"":""Nope""}",145888,576954,,,
153,"{""Q0"":""Nothing"",""Q1"":""Nothing"",""Q2"":""24"",""Q3"":""""}",9202,587164,-999,0,
154,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",5681,994816,,,
154,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",12160,1007982,-999,0,
